tree,Source,n,p
prediction.1,Beef,147,0.22580645161290322
prediction.1,Poultry,424,0.6513056835637481
prediction.1,Sheep,80,0.1228878648233487
prediction.10,Beef,136,0.20890937019969277
prediction.10,Poultry,417,0.6405529953917051
prediction.10,Sheep,98,0.15053763440860216
prediction.100,Beef,161,0.24731182795698925
prediction.100,Poultry,392,0.6021505376344086
prediction.100,Sheep,98,0.15053763440860216
prediction.101,Beef,193,0.2964669738863287
prediction.101,Poultry,345,0.5299539170506913
prediction.101,Sheep,113,0.17357910906298002
prediction.102,Beef,151,0.23195084485407066
prediction.102,Poultry,405,0.6221198156682027
prediction.102,Sheep,95,0.14592933947772657
prediction.103,Beef,140,0.21505376344086022
prediction.103,Poultry,424,0.6513056835637481
prediction.103,Sheep,87,0.1336405529953917
prediction.104,Beef,155,0.23809523809523808
prediction.104,Poultry,410,0.6298003072196621
prediction.104,Sheep,86,0.13210445468509985
prediction.105,Beef,171,0.2626728110599078
prediction.105,Poultry,391,0.6006144393241167
prediction.105,Sheep,89,0.13671274961597543
prediction.106,Beef,150,0.2304147465437788
prediction.106,Poultry,359,0.5514592933947773
prediction.106,Sheep,142,0.21812596006144394
prediction.107,Beef,139,0.21351766513056836
prediction.107,Poultry,398,0.6113671274961597
prediction.107,Sheep,114,0.17511520737327188
prediction.108,Beef,159,0.24423963133640553
prediction.108,Poultry,403,0.6190476190476191
prediction.108,Sheep,89,0.13671274961597543
prediction.109,Beef,153,0.2350230414746544
prediction.109,Poultry,379,0.5821812596006144
prediction.109,Sheep,119,0.1827956989247312
prediction.11,Beef,125,0.19201228878648233
prediction.11,Poultry,403,0.6190476190476191
prediction.11,Sheep,123,0.1889400921658986
prediction.110,Beef,137,0.21044546850998463
prediction.110,Poultry,369,0.5668202764976958
prediction.110,Sheep,145,0.2227342549923195
prediction.111,Beef,165,0.2534562211981567
prediction.111,Poultry,348,0.5345622119815668
prediction.111,Sheep,138,0.2119815668202765
prediction.112,Beef,127,0.19508448540706605
prediction.112,Poultry,401,0.6159754224270353
prediction.112,Sheep,123,0.1889400921658986
prediction.113,Beef,161,0.24731182795698925
prediction.113,Poultry,389,0.5975422427035331
prediction.113,Sheep,101,0.15514592933947774
prediction.114,Beef,188,0.2887864823348694
prediction.114,Poultry,372,0.5714285714285714
prediction.114,Sheep,91,0.13978494623655913
prediction.115,Beef,152,0.23348694316436253
prediction.115,Poultry,374,0.5745007680491552
prediction.115,Sheep,125,0.19201228878648233
prediction.116,Beef,143,0.2196620583717358
prediction.116,Poultry,406,0.6236559139784946
prediction.116,Sheep,102,0.15668202764976957
prediction.117,Beef,169,0.25960061443932414
prediction.117,Poultry,349,0.5360983102918587
prediction.117,Sheep,133,0.20430107526881722
prediction.118,Beef,160,0.2457757296466974
prediction.118,Poultry,385,0.5913978494623656
prediction.118,Sheep,106,0.16282642089093702
prediction.119,Beef,147,0.22580645161290322
prediction.119,Poultry,393,0.6036866359447005
prediction.119,Sheep,111,0.17050691244239632
prediction.12,Beef,146,0.22427035330261136
prediction.12,Poultry,422,0.6482334869431644
prediction.12,Sheep,83,0.12749615975422426
prediction.120,Beef,152,0.23348694316436253
prediction.120,Poultry,346,0.5314900153609831
prediction.120,Sheep,153,0.2350230414746544
prediction.121,Beef,148,0.22734254992319508
prediction.121,Poultry,358,0.5499231950844854
prediction.121,Sheep,145,0.2227342549923195
prediction.122,Beef,176,0.27035330261136714
prediction.122,Poultry,370,0.5683563748079877
prediction.122,Sheep,105,0.16129032258064516
prediction.123,Beef,149,0.22887864823348694
prediction.123,Poultry,406,0.6236559139784946
prediction.123,Sheep,96,0.14746543778801843
prediction.124,Beef,131,0.2012288786482335
prediction.124,Poultry,405,0.6221198156682027
prediction.124,Sheep,115,0.17665130568356374
prediction.125,Beef,180,0.2764976958525346
prediction.125,Poultry,364,0.5591397849462365
prediction.125,Sheep,107,0.16436251920122888
prediction.126,Beef,153,0.2350230414746544
prediction.126,Poultry,391,0.6006144393241167
prediction.126,Sheep,107,0.16436251920122888
prediction.127,Beef,163,0.25038402457757297
prediction.127,Poultry,409,0.6282642089093702
prediction.127,Sheep,79,0.12135176651305683
prediction.128,Beef,171,0.2626728110599078
prediction.128,Poultry,394,0.6052227342549923
prediction.128,Sheep,86,0.13210445468509985
prediction.129,Beef,150,0.2304147465437788
prediction.129,Poultry,374,0.5745007680491552
prediction.129,Sheep,127,0.19508448540706605
prediction.13,Beef,112,0.17204301075268819
prediction.13,Poultry,387,0.5944700460829493
prediction.13,Sheep,152,0.23348694316436253
prediction.130,Beef,145,0.2227342549923195
prediction.130,Poultry,359,0.5514592933947773
